geolocation_zip_code_prefix,geolocation_city,geolocation_state,geolocation_lat,geolocation_lng
01001,Sao Paulo,SP,-23.550189776551765,-46.6340235559042
01002,Sao Paulo,SP,-23.54814573176355,-46.63497921074498
01003,Sao Paulo,SP,-23.54899372481316,-46.635731309975874
01004,Sao Paulo,SP,-23.549798842277006,-46.63475694378971
01005,Sao Paulo,SP,-23.549456199830747,-46.63673294803691
01006,Sao Paulo,SP,-23.55010181145287,-46.636136735174176
01007,Sao Paulo,SP,-23.550046202351663,-46.637251459637646
01008,Sao Paulo,SP,-23.546001749383464,-46.63588592135778
01009,Sao Paulo,SP,-23.546835208320868,-46.636490695312204
01010,Sao Paulo,SP,-23.54638943836927,-46.635226081509046
01011,Sao Paulo,SP,-23.54690864025111,-46.63558202636041
01012,Sao Paulo,SP,-23.547789733146864,-46.63485900505736
01013,Sao Paulo,SP,-23.5471420283239,-46.63423580006204
01014,Sao Paulo,SP,-23.545912805690417,-46.63361537124495
01015,Sao Paulo,SP,-23.547665749383476,-46.631558570722675
01016,Sao Paulo,SP,-23.548976407029944,-46.63235192955855
01017,Sao Paulo,SP,-23.54953127194786,-46.631023845552235
01018,Sao Paulo,SP,-23.550928517909007,-46.63243146837754
01019,Sao Paulo,SP,-23.551774137807584,-46.63089338270138
01020,Sao Paulo,SP,-23.552335651551417,-46.630049709845736
01021,Sao Paulo,SP,-23.543000459064803,-46.63214323386248
01022,Sao Paulo,SP,-23.544921826153427,-46.631931335611945
01023,Sao Paulo,SP,-23.542330784361457,-46.63137340438761
01024,Sao Paulo,SP,-23.54140143278026,-46.62990400057277
01025,Sao Paulo,SP,-23.540291945676326,-46.630928059419446
01026,Sao Paulo,SP,-23.539657127270946,-46.6318842127058
01027,Sao Paulo,SP,-23.538082328385336,-46.630668675067795
01028,Sao Paulo,SP,-23.535932541180536,-46.63355514575825
01029,Sao Paulo,SP,-23.541373048980535,-46.633415988443026
01030,Sao Paulo,SP,-23.53954929175343,-46.633023251513535
01031,Sao Paulo,SP,-23.54190585344045,-46.63508761691669
01032,Sao Paulo,SP,-23.540124454559958,-46.63519354379768
01033,Sao Paulo,SP,-23.539271437077804,-46.635878084214845
01034,Sao Paulo,SP,-23.542515317419944,-46.63736744880091
01035,Sao Paulo,SP,-23.541614488738944,-46.641549142526515
01036,Sao Paulo,SP,-23.541648452336283,-46.641443277359336
01037,Sao Paulo,SP,-23.545411016454082,-46.63892437204838
01038,Sao Paulo,SP,-23.54390737962768,-46.63999380609391
01039,Sao Paulo,SP,-23.54137085777194,-46.63916528885119
01040,Sao Paulo,SP,-23.541028179008823,-46.63832469496941
01041,Sao Paulo,SP,-23.54390458746036,-46.640046486444724
01042,Sao Paulo,SP,-23.54485294953175,-46.640410456031695
01043,Sao Paulo,SP,-23.545765991186382,-46.641502464541404
01044,Sao Paulo,SP,-23.545598238423416,-46.64145267015315
01045,Sao Paulo,SP,-23.542345366178562,-46.64252697570119
01046,Sao Paulo,SP,-23.545930039168812,-46.64399751778182
01047,Sao Paulo,SP,-23.546187607081748,-46.64106743356167
01048,Sao Paulo,SP,-23.54711318884073,-46.639839874896374
01049,Sao Paulo,SP,-23.54701123674601,-46.63916570493306
01050,Sao Paulo,SP,-23.54922916358051,-46.64303023455153
01101,Sao Paulo,SP,-23.528286860378213,-46.63195753503104
01102,Sao Paulo,SP,-23.52557140695574,-46.63028748439394
01103,Sao Paulo,SP,-23.53546844605213,-46.630290773383486
01104,Sao Paulo,SP,-23.534952165368537,-46.62957039061347
01105,Sao Paulo,SP,-23.53409398177586,-46.629077680173324
01106,Sao Paulo,SP,-23.53022077513783,-46.62822125953078
01107,Sao Paulo,SP,-23.52608789203137,-46.6295898871866
01108,Sao Paulo,SP,-23.527232171325494,-46.63035441819986
01109,Sao Paulo,SP,-23.524624899587646,-46.627103243360565
01120,Sao Paulo,SP,-23.530162529753113,-46.63951141166309
01121,Sao Paulo,SP,-23.527866658998825,-46.635256920492864
01122,Sao Paulo,SP,-23.53113059653861,-46.638324826141925
01123,Sao Paulo,SP,-23.529164543710603,-46.636582392674725
01124,Sao Paulo,SP,-23.528221233825743,-46.6330954010969
01125,Sao Paulo,SP,-23.52728844957164,-46.64016432350874
01126,Sao Paulo,SP,-23.52706654933756,-46.6391527868084
01127,Sao Paulo,SP,-23.52548080336663,-46.64159548852642
01128,Sao Paulo,SP,-23.523786738657147,-46.64220966455253
01129,Sao Paulo,SP,-23.524051385464382,-46.64507304012999
01130,Sao Paulo,SP,-23.52483082086712,-46.64492992157746
01131,Sao Paulo,SP,-23.522379737671027,-46.64310784736644
01132,Sao Paulo,SP,-23.52153987930432,-46.64873923331728
01133,Sao Paulo,SP,-23.52042428170985,-46.65332230946677
01134,Sao Paulo,SP,-23.518899939878285,-46.65269033643667
01135,Sao Paulo,SP,-23.52619042672918,-46.650970041202214
01136,Sao Paulo,SP,-23.523986920181713,-46.66135135045779
01137,Sao Paulo,SP,-23.522851480322114,-46.65280923153935
01138,Sao Paulo,SP,-23.522455823939264,-46.655253903664246
01139,Sao Paulo,SP,-23.520724956071753,-46.66593897144172
01140,Sao Paulo,SP,-23.52043844370904,-46.66923716844039
01141,Sao Paulo,SP,-23.520310325905555,-46.666439013917504
01142,Sao Paulo,SP,-23.519934305152635,-46.6251300217966
01144,Sao Paulo,SP,-23.523572749295845,-46.67242459028444
01150,Sao Paulo,SP,-23.53295302359728,-46.658245942661345
01151,Sao Paulo,SP,-23.531641584683715,-46.656288753249086
01152,Sao Paulo,SP,-23.529884845741268,-46.65527643333266
01153,Sao Paulo,SP,-23.529930846298754,-46.653549086904356
01154,Sao Paulo,SP,-23.530535897249937,-46.65929570388055
01155,Sao Paulo,SP,-23.52907288402518,-46.66331995168208
01156,Sao Paulo,SP,-23.528921138302913,-46.66643724514499
01189,Sao Paulo,SP,-23.53210825506378,-46.63839470107914
01200,Sao Paulo,SP,-23.531567773241413,-46.64986907784642
01201,Sao Paulo,SP,-23.53608280967418,-46.649539390469315
01202,Sao Paulo,SP,-23.533742576459336,-46.64828045105447
01203,Sao Paulo,SP,-23.53596465666132,-46.64529955632679
01204,Sao Paulo,SP,-23.535992639468514,-46.64408982260722
01205,Sao Paulo,SP,-23.536490774893963,-46.64264196680963
01206,Sao Paulo,SP,-23.53586368511747,-46.64281871336397
01207,Sao Paulo,SP,-23.539175560135185,-46.63865415001012
01208,Sao Paulo,SP,-23.538660495662256,-46.63898204602016
01209,Sao Paulo,SP,-23.540695255566067,-46.64158293572282
01210,Sao Paulo,SP,-23.540039340558916,-46.64209131081347
01211,Sao Paulo,SP,-23.53757657410565,-46.648837901189005
01212,Sao Paulo,SP,-23.538268511790662,-46.63942263256764
01213,Sao Paulo,SP,-23.53650149461516,-46.64036116340707
01214,Sao Paulo,SP,-23.53884249396186,-46.645230453060144
01215,Sao Paulo,SP,-23.536167399914945,-46.64754185786535
01216,Sao Paulo,SP,-23.533127593964494,-46.647833807450674
01217,Sao Paulo,SP,-23.532657557836487,-46.648883992986306
01218,Sao Paulo,SP,-23.531249798864057,-46.648325141054045
01219,Sao Paulo,SP,-23.541288814286368,-46.64569860301066
01220,Sao Paulo,SP,-23.544514011109737,-46.64603990221942
01221,Sao Paulo,SP,-23.544867697472082,-46.64828171537101
01222,Sao Paulo,SP,-23.545944543973,-46.64936937401519
01223,Sao Paulo,SP,-23.544088116558562,-46.6485821171502
01224,Sao Paulo,SP,-23.54177865147579,-46.65242233963953
01225,Sao Paulo,SP,-23.53978602121373,-46.64913883151016
01226,Sao Paulo,SP,-23.538010108905684,-46.652719268127555
01227,Sao Paulo,SP,-23.546201912968815,-46.658384582733994
01228,Sao Paulo,SP,-23.545189379286,-46.657610856988455
01229,Sao Paulo,SP,-23.538901609843467,-46.657291130376834
01230,Sao Paulo,SP,-23.536310405918027,-46.65711200863413
01231,Sao Paulo,SP,-23.536950407426133,-46.65925589278497
01232,Sao Paulo,SP,-23.53642800353018,-46.65742601137802
01233,Sao Paulo,SP,-23.536246540149957,-46.661665217965776
01234,Sao Paulo,SP,-23.539689562251542,-46.66424403546395
01235,Sao Paulo,SP,-23.536714276862273,-46.66466630391698
01236,Sao Paulo,SP,-23.543550224431343,-46.66741941090643
